model,filename,file_size_mb,load_success,error,watertight,manifold_edge_ratio,boundary_edge_ratio,nonmanifold_edge_ratio,connected_components,vertex_count,face_count,triangle_ratio,non_triangle_ratio,has_uv,uv_bbox_efficiency,uv_packed_area,has_texture,pbr_channel_count,texture_resolution,surface_area,bbox_diag,seconds
3DTopia-XL,A_cartoon_house_with_red_roof.glb,2.2043,True,,False,0.6878,0.3122,0.0,1498,22292,27010,1.0,0.0,True,0.9992,0.5188,True,2,1024,1.942024,2.388618,0.118
3DTopia-XL,A_castle_made_of_cardboard.glb,1.1809,True,,False,0.7084,0.2916,0.0,270,9000,11579,1.0,0.0,True,0.9992,0.4512,True,2,1024,0.742519,2.16716,0.058
3DTopia-XL,A_heart_made_of_wood.glb,3.646,True,,False,0.7548,0.2452,0.0,2577,50592,70586,1.0,0.0,True,0.9992,0.5501,True,2,1024,5.985246,2.664223,0.203
3DTopia-XL,A_photo_of_a_Japanese_Porcelain_Imari_vase_on_the_ground_below_a_wooden_chair.glb,2.4323,True,,False,0.68,0.32,0.0,1893,33799,41016,1.0,0.0,True,0.9992,0.5161,True,2,1024,2.973559,2.315419,0.129
3DTopia-XL,A_photo_of_a_Ming_Dynasty_vase_on_a_leather_topped_table.glb,2.8863,True,,False,0.8024,0.1976,0.0,1427,36708,54720,1.0,0.0,True,0.9991,0.5786,True,2,1024,5.067759,2.717495,0.161
3DTopia-XL,A_photograph_of_a_portrait_of_a_statue_of_a_pharaoh_wearing_steampunk_glasses.glb,2.5242,True,,False,0.7708,0.2292,0.0,1085,25186,35924,1.0,0.0,True,0.9992,0.5363,True,2,1024,3.085702,2.150895,0.144
3DTopia-XL,A_rhino_beetle_this_size_of_a_tank_grapples_a_real_life_passenger_airplane_on_the_tarmac.glb,2.7663,True,,False,0.75,0.25,0.0,1582,33421,46158,1.0,0.0,True,0.9991,0.6795,True,2,1024,3.85834,2.458671,0.138
3DTopia-XL,Anubis_wearing_sunglasses_and_sitting_astride_a_hog_motorcyle.glb,2.9562,True,,False,0.7314,0.2686,0.0,1548,34228,45580,1.0,0.0,True,0.9992,0.5716,True,2,1024,3.834758,2.666274,0.14
3DTopia-XL,The_Oriental_Pearl.glb,3.8993,True,,False,0.7538,0.2462,0.0,2736,57929,80450,1.0,0.0,True,0.9991,0.581,True,2,1024,6.89676,2.777572,0.228
3DTopia-XL,a_Christmas_tree.glb,2.6002,True,,False,0.7049,0.2951,0.0,1036,18470,23764,1.0,0.0,True,0.9991,0.5877,True,2,1024,2.174703,2.002385,0.092
3DTopia-XL,a_baby_penguin.glb,2.8633,True,,False,0.7445,0.2555,0.0,2145,41521,56936,1.0,0.0,True,0.9991,0.5912,True,2,1024,4.833179,2.330933,0.164
3DTopia-XL,a_baby_penguin_wearing_a_blue_hat.glb,2.5364,True,,False,0.755,0.245,0.0,1061,23743,33064,1.0,0.0,True,0.9991,0.6044,True,2,1024,2.796698,1.967891,0.112
3DTopia-XL,a_ball.glb,3.5963,True,,False,0.7659,0.2341,0.0,3415,69994,99300,1.0,0.0,True,0.9991,0.6012,True,2,1024,8.27394,2.847626,0.264
3DTopia-XL,a_bamboo_ladder.glb,2.0501,True,,False,0.6747,0.3253,0.0,814,17357,20970,1.0,0.0,True,0.9994,0.3318,True,2,1024,1.731259,2.261706,0.079
3DTopia-XL,a_barred_owl_peeking_out_from_dense_tree_branches.glb,3.26,True,,False,0.7628,0.2372,0.0,2019,42533,59874,1.0,0.0,True,0.9991,0.6068,True,2,1024,5.111526,2.262853,0.173
3DTopia-XL,a_bird.glb,2.4718,True,,False,0.742,0.258,0.0,1356,28440,38858,1.0,0.0,True,0.9991,0.6045,True,2,1024,3.267402,2.311456,0.169
3DTopia-XL,a_black_baseball_hat.glb,3.5668,True,,False,0.7306,0.2694,0.0,2917,53993,72550,1.0,0.0,True,0.9991,0.6063,True,2,1024,6.074376,2.646666,0.411
3DTopia-XL,a_black_t-shirt_with_the_peace_sign_on_it.glb,2.6853,True,,False,0.7834,0.2166,0.0,1872,39451,57388,1.0,0.0,True,0.9991,0.6316,True,2,1024,5.255899,2.561759,0.346
3DTopia-XL,a_bloody_mary_cocktail.glb,2.3432,True,,False,0.7731,0.2269,0.0,928,20469,29226,1.0,0.0,True,0.9991,0.6919,True,2,1024,2.667267,1.988326,0.194
3DTopia-XL,a_blue_t-shirt_with_a_dinosaur_on_it.glb,2.8583,True,,False,0.802,0.198,0.0,1413,40051,59456,1.0,0.0,True,0.9992,0.5472,True,2,1024,5.329319,2.479184,0.359
3DTopia-XL,a_boat.glb,2.4069,True,,False,0.8122,0.1878,0.0,958,26004,39085,1.0,0.0,True,0.9991,0.6657,True,2,1024,3.296927,2.356303,0.262
3DTopia-XL,a_bookshelf_with_ten_books_stacked_vertically.glb,3.1136,True,,False,0.7371,0.2629,0.0,1601,31652,42691,1.0,0.0,True,0.9991,0.6675,True,2,1024,3.750333,2.034611,0.273
3DTopia-XL,a_bowl.glb,3.7993,True,,False,0.7535,0.2465,0.0,3488,69266,96352,1.0,0.0,True,0.9992,0.546,True,2,1024,7.845683,2.576512,0.557
3DTopia-XL,a_bundle_of_blue_and_yellow_flowers_in_a_vase.glb,0.5772,True,,False,0.6795,0.3205,0.0,43,1062,1296,1.0,0.0,True,0.9976,0.493,True,2,1024,0.078134,1.555422,0.046
3DTopia-XL,a_capybara_made_of_voxels_sitting_in_a_field.glb,3.1829,True,,False,0.7498,0.2502,0.0,2147,45489,62724,1.0,0.0,True,0.9991,0.6147,True,2,1024,5.201417,2.523376,0.352
3DTopia-XL,a_cardboard_spaceship.glb,2.2208,True,,False,0.7504,0.2496,0.0,1617,31935,44208,1.0,0.0,True,0.9992,0.5734,True,2,1024,3.654623,2.214199,0.268
3DTopia-XL,a_cat.glb,2.7731,True,,False,0.7413,0.2587,0.0,1774,35821,48794,1.0,0.0,True,0.9993,0.44,True,2,1024,4.197789,2.313962,0.302
3DTopia-XL,a_cat_statue.glb,2.5763,True,,False,0.7761,0.2239,0.0,1465,32254,46334,1.0,0.0,True,0.9991,0.6008,True,2,1024,3.95131,2.32209,0.326
3DTopia-XL,a_chest.glb,3.3458,True,,False,0.8184,0.1816,0.0,1482,41800,63651,1.0,0.0,True,0.9992,0.5557,True,2,1024,5.503969,2.513797,0.354
3DTopia-XL,a_coffee_maker.glb,2.7005,True,,False,0.8096,0.1904,0.0,1405,40215,60388,1.0,0.0,True,0.9992,0.5381,True,2,1024,5.551796,2.184078,0.332
3DTopia-XL,a_coffee_table.glb,2.7461,True,,False,0.7994,0.2006,0.0,1093,30204,44884,1.0,0.0,True,0.9992,0.5414,True,2,1024,3.833352,2.69887,0.266
3DTopia-XL,a_fish.glb,2.0483,True,,False,0.7448,0.2552,0.0,784,17232,23601,1.0,0.0,True,0.9992,0.5477,True,2,1024,1.929712,2.192875,0.175
3DTopia-XL,a_fish_without_eyes.glb,2.7539,True,,False,0.721,0.279,0.0,1622,28601,37712,1.0,0.0,True,0.9991,0.6438,True,2,1024,3.062087,2.524499,0.254
3DTopia-XL,a_fox.glb,2.7489,True,,False,0.7549,0.2451,0.0,1527,34596,47900,1.0,0.0,True,0.9992,0.5515,True,2,1024,4.067821,2.515411,0.296
