model,filename,tm_watertight,tm_manifold_edge_ratio,pml_edges,pml_nm_edges,pml_boundary_edges,pml_manifold_edge_ratio,pml_watertight,pml_two_manifold,pml_error,wt_match,manif_match,wt_note,manif_note
3DTopia-XL,A_cartoon_house_with_red_roof.glb,False,0.687800,48008.000000,0.000000,14986.000000,0.687844,False,False,,True,True,OK,OK
3DTopia-XL,A_castle_made_of_cardboard.glb,False,0.708400,20333.000000,0.000000,5929.000000,0.708405,False,False,,True,True,OK,OK
3DTopia-XL,A_heart_made_of_wood.glb,False,0.754800,120671.000000,0.000000,29584.000000,0.754838,False,False,,True,True,OK,OK
3DTopia-XL,A_photo_of_a_Japanese_Porcelain_Imari_vase_on_the_ground_below_a_wooden_chair.glb,False,0.680000,73243.000000,0.000000,23438.000000,0.679997,False,False,,True,True,OK,OK
3DTopia-XL,A_photo_of_a_Ming_Dynasty_vase_on_a_leather_topped_table.glb,False,0.802400,91081.000000,0.000000,18002.000000,0.802352,False,False,,True,True,OK,OK
3DTopia-XL,A_photograph_of_a_portrait_of_a_statue_of_a_pharaoh_wearing_steampunk_glasses.glb,False,0.770800,60861.000000,0.000000,13950.000000,0.770789,False,False,,True,True,OK,OK
3DTopia-XL,A_rhino_beetle_this_size_of_a_tank_grapples_a_real_life_passenger_airplane_on_the_tarmac.glb,False,0.750000,79126.000000,0.000000,19778.000000,0.750044,False,False,,True,True,OK,OK
3DTopia-XL,Anubis_wearing_sunglasses_and_sitting_astride_a_hog_motorcyle.glb,False,0.731400,78978.000000,0.000000,21216.000000,0.731368,False,False,,True,True,OK,OK
3DTopia-XL,The_Oriental_Pearl.glb,False,0.753800,137616.000000,0.000000,33882.000000,0.753793,False,False,,True,True,OK,OK
3DTopia-XL,a_Christmas_tree.glb,False,0.704900,41817.000000,0.000000,12342.000000,0.704857,False,False,,True,True,OK,OK
3DTopia-XL,a_baby_penguin.glb,False,0.744500,97915.000000,0.000000,25022.000000,0.744452,False,False,,True,True,OK,OK
3DTopia-XL,a_baby_penguin_wearing_a_blue_hat.glb,False,0.755000,56520.000000,0.000000,13848.000000,0.754989,False,False,,True,True,OK,OK
3DTopia-XL,a_ball.glb,False,0.765900,168699.000000,0.000000,39498.000000,0.765867,False,False,,True,True,OK,OK
3DTopia-XL,a_bamboo_ladder.glb,False,0.674700,37564.000000,0.000000,12218.000000,0.674742,False,False,,True,True,OK,OK
3DTopia-XL,a_barred_owl_peeking_out_from_dense_tree_branches.glb,False,0.762800,101894.000000,0.000000,24166.000000,0.762832,False,False,,True,True,OK,OK
3DTopia-XL,a_bird.glb,False,0.742000,66920.000000,0.000000,17266.000000,0.741990,False,False,,True,True,OK,OK
3DTopia-XL,a_black_baseball_hat.glb,False,0.730600,125762.000000,0.000000,33874.000000,0.730650,False,False,,True,True,OK,OK
3DTopia-XL,a_black_t-shirt_with_the_peace_sign_on_it.glb,False,0.783400,96538.000000,0.000000,20912.000000,0.783381,False,False,,True,True,OK,OK
3DTopia-XL,a_bloody_mary_cocktail.glb,False,0.773100,49450.000000,0.000000,11222.000000,0.773064,False,False,,True,True,OK,OK
