model,elo,D1,D2_UV,D3_PBR,Total,wt_pct,manifold_pct,comp_inv,uv_bbox_pct,uv_pack_pct,pbr_pct,texres_pct
Strawberrry,1382.000000,0.277778,0.755556,0.966667,0.666667,0.366667,0.200000,0.266667,0.666667,0.600000,0.933333,0.966667
Strawb3rry,1370.000000,0.455556,0.822222,0.988889,0.755556,0.366667,0.533333,0.466667,0.800000,0.666667,1.000000,0.966667
TRELLIS,1306.000000,0.300000,0.911111,0.722222,0.644444,0.366667,0.133333,0.400000,0.866667,0.866667,0.566667,0.600000
Zaohaowu3D,1302.000000,0.544444,0.844444,0.800000,0.729630,0.366667,0.666667,0.600000,0.733333,0.800000,0.566667,0.833333
Hunyuan3D-2,1298.000000,0.277778,0.977778,0.722222,0.659259,0.366667,0.266667,0.200000,1.000000,0.933333,0.566667,0.600000
InstantMesh,1278.000000,0.866667,0.133333,0.133333,0.377778,1.000000,0.933333,0.666667,0.200000,0.200000,0.200000,0.200000
Meshy-5,1243.000000,0.455556,0.844444,0.800000,0.700000,0.366667,0.466667,0.533333,0.533333,1.000000,0.566667,0.833333
Unique3D,1230.000000,0.911111,0.133333,0.133333,0.392593,0.866667,0.866667,1.000000,0.200000,0.200000,0.200000,0.200000
Hi3DGen,1207.000000,0.888889,0.133333,0.133333,0.385185,0.933333,1.000000,0.733333,0.200000,0.200000,0.200000,0.200000
MeshFormer,1192.000000,0.122222,0.133333,0.133333,0.129630,0.366667,0.000000,0.000000,0.200000,0.200000,0.200000,0.200000
SF3D,1190.000000,0.366667,0.644444,0.800000,0.603704,0.366667,0.400000,0.333333,0.466667,0.466667,0.800000,0.600000
Real3D,1158.000000,0.633333,0.133333,0.133333,0.300000,0.366667,0.733333,0.800000,0.200000,0.200000,0.200000,0.200000
SPAR3D,1144.000000,0.277778,0.711111,0.800000,0.596296,0.366667,0.333333,0.133333,0.600000,0.533333,0.800000,0.600000
TripoSR,1089.000000,0.700000,0.133333,0.133333,0.322222,0.366667,0.800000,0.933333,0.200000,0.200000,0.200000,0.200000
IM-MA,1016.000000,0.755556,0.133333,0.133333,0.340741,0.800000,0.600000,0.866667,0.200000,0.200000,0.200000,0.200000
3DTopia-XL,1000.000000,0.166667,0.888889,0.800000,0.618519,0.366667,0.066667,0.066667,0.933333,0.733333,0.800000,0.600000
