model,elo,D1,D2,D3,Total,wt_pct,manifold_pct,comp_inv,has_uv_prop,uv_pack_pct,pbr_pct,texres_pct
Strawberrry,1382,0.277778,0.8,0.95,0.675926,0.366667,0.2,0.266667,1,0.6,0.933333,0.966667
Strawb3rry,1370,0.455556,0.833333,0.983333,0.757407,0.366667,0.533333,0.466667,1,0.666667,1,0.966667
TRELLIS,1306,0.3,0.933333,0.583333,0.605556,0.366667,0.133333,0.4,1,0.866667,0.566667,0.6
Zaohaowu3D,1302,0.544444,0.9,0.7,0.714815,0.366667,0.666667,0.6,1,0.8,0.566667,0.833333
Hunyuan3D-2,1298,0.277778,0.966667,0.583333,0.609259,0.366667,0.266667,0.2,1,0.933333,0.566667,0.6
InstantMesh,1278,0.866667,0.1,0.2,0.388889,1,0.933333,0.666667,0,0.2,0.2,0.2
Meshy-5,1243,0.455556,1,0.7,0.718519,0.366667,0.466667,0.533333,1,1,0.566667,0.833333
Unique3D,1230,0.911111,0.1,0.2,0.403704,0.866667,0.866667,1,0,0.2,0.2,0.2
Hi3DGen,1207,0.888889,0.1,0.2,0.396296,0.933333,1,0.733333,0,0.2,0.2,0.2
MeshFormer,1192,0.122222,0.1,0.2,0.140741,0.366667,0,0,0,0.2,0.2,0.2
SF3D,1190,0.366667,0.733333,0.7,0.6,0.366667,0.4,0.333333,1,0.466667,0.8,0.6
Real3D,1158,0.633333,0.1,0.2,0.311111,0.366667,0.733333,0.8,0,0.2,0.2,0.2
SPAR3D,1144,0.277778,0.766667,0.7,0.581481,0.366667,0.333333,0.133333,1,0.533333,0.8,0.6
TripoSR,1089,0.7,0.1,0.2,0.333333,0.366667,0.8,0.933333,0,0.2,0.2,0.2
IM-MA,1016,0.755556,0.1,0.2,0.351852,0.8,0.6,0.866667,0,0.2,0.2,0.2
3DTopia-XL,1000,0.166667,0.866667,0.7,0.577778,0.366667,0.066667,0.066667,1,0.733333,0.8,0.6
