model,elo,elo_rank,watertight_pct,wt_rank,elo_vs_wt_gap,avg_components,cc_rank,elo_vs_cc_gap
IM-MA,1016.0,15,16.0,4,11,7.14,3,12
Strawberrry,1382.0,1,0.0,10,9,603.66,12,11
Strawb3rry,1370.0,2,0.0,10,8,216.58,9,7
TRELLIS,1306.0,3,0.0,10,7,386.37,10,7
Hi3DGen,1207.0,9,70.0,2,7,18.8,5,4
3DTopia-XL,1000.0,16,0.0,10,6,1668.15,15,1
Zaohaowu3D,1302.0,4,0.0,10,6,77.7,7,3
Hunyuan3D-2,1298.0,5,0.0,10,5,639.08,13,8
InstantMesh,1278.0,6,89.0,1,5,27.46,6,0
Unique3D,1230.0,8,50.0,3,5,2.0,1,7
TripoSR,1089.0,14,0.0,10,4,4.41,2,12
Meshy-5,1243.0,7,0.0,10,3,149.31,8,1
SPAR3D,1144.0,13,0.0,10,3,1021.72,14,1
Real3D,1158.0,12,0.0,10,2,15.87,4,8
SF3D,1190.0,11,0.0,10,1,419.21,11,0
MeshFormer,1192.0,10,0.0,10,0,97890.78494623656,16,6
