model,elo,votes,win_rate,format,rank,post_paper,anonymous
CSM/Cube,1405,3027,83.3,Splat,1,False,False
TRELLIS-3DGS,1384,3648,80.1,Splat,2,False,False
Strawberrry,1382,4892,80.9,Mesh,3,False,True
Strawb3rry,1370,5121,79.4,Mesh,4,False,True
TRELLIS,1306,4877,67.0,Mesh,5,False,False
Zaohaowu3D,1302,582,64.8,Mesh,6,False,False
Hunyuan3D-2,1298,4195,65.5,Mesh,7,False,False
InstantMesh,1278,10575,63.8,Mesh,8,False,False
Meshy-5,1243,7023,58.1,Mesh,9,False,False
Unique3D,1230,8959,55.1,Mesh,10,False,False
Hi3DGen,1207,1565,47.7,Mesh,11,False,False
MeshFormer,1192,5394,48.6,Mesh,12,False,False
SF3D,1190,6267,48.4,Mesh,13,False,False
Real3D,1158,8541,42.5,Mesh,14,False,False
SPAR3D,1144,3783,38.6,Mesh,15,False,False
LGM,1100,10344,32.7,Splat,16,False,False
TripoSR,1089,10296,31.4,Mesh,17,False,False
IM-MA,1016,7519,19.2,Mesh,18,False,False
3DTopia-XL,1000,5425,15.6,Mesh,19,False,False
Hunyuan3D-2.1,,,,Mesh,,True,False
TRELLIS.2-4B,,,,Mesh,,True,False
Meshy-6,,,,Mesh,,True,False
TripoSG,,,,Mesh,,True,False
