model,elo,elo_rank,d1_score,d1_rank,d3_score,d3_rank,d4_score,d4_rank,watertight_pct,manifold_edge_ratio,avg_components,has_uv_pct,has_texture_pct,avg_pbr_channels,avg_texture_resolution,post_paper
Strawberrry,1382.0,1.0,0.31166826485005583,16,1.0,6,0.9733333333333334,2,0.0,0.7963330000000001,603.66,100.0,100.0,2.84,4096.0,False
Strawb3rry,1370.0,2.0,0.3827146095683951,10,1.0,6,1.0,1,0.0,0.954874,216.58,100.0,100.0,3.0,4096.0,False
TRELLIS,1306.0,3.0,0.31539247828397876,15,1.0,6,0.29166666666666663,11,0.0,0.7857129999999999,386.37,100.0,100.0,1.0,1024.0,False
Zaohaowu3D,1302.0,4.0,0.4153688377724061,8,1.0,6,0.41666666666666663,9,0.0,0.97793,77.7,100.0,100.0,1.0,2048.0,False
Hunyuan3D-2,1298.0,5.0,0.32078392913875925,13,1.0,6,0.29166666666666663,11,0.0,0.82627,639.08,100.0,100.0,1.0,1024.0,False
InstantMesh,1278.0,6.0,0.7927086876389698,2,0.0,16,0.0,16,89.0,0.999984,27.46,0.0,0.0,0.0,0.0,False
Meshy-5,1243.0,7.0,0.38730533025963626,9,1.0,6,0.41666666666666663,9,0.0,0.944339,149.31,100.0,100.0,1.0,2048.0,False
Unique3D,1230.0,8.0,0.8538932378654166,1,0.0,16,0.0,16,50.0,0.999871,2.0,0.0,0.0,0.0,0.0,False
Hi3DGen,1207.0,9.0,0.7391502041454044,3,0.0,16,0.0,16,70.0,0.999989,18.8,0.0,0.0,0.0,0.0,False
MeshFormer,1192.0,10.0,0.0,20,0.0,16,0.0,16,0.0,0.0002860215053763,97890.78494623656,0.0,0.0,0.0,0.0,False
SF3D,1190.0,11.0,0.341988469692944,11,1.0,6,0.4583333333333333,7,0.0,0.8696649999999999,419.21,100.0,100.0,2.0,1024.0,False
Real3D,1158.0,12.0,0.4850182919131391,7,0.0,16,0.0,16,0.0,0.997618,15.87,0.0,0.0,0.0,0.0,False
SPAR3D,1144.0,13.0,0.3176424496173863,14,1.0,6,0.4583333333333333,7,0.0,0.836819,1021.72,100.0,100.0,2.0,1024.0,False
TripoSR,1089.0,14.0,0.5780032153178187,6,0.0,16,0.0,16,0.0,0.997628,4.41,0.0,0.0,0.0,0.0,False
IM-MA,1016.0,15.0,0.5847838098634145,5,0.0,16,0.0,16,16.0,0.961989,7.14,0.0,0.0,0.0,0.0,False
3DTopia-XL,1000.0,16.0,0.2835820917653696,17,1.0,6,0.4583333333333333,7,0.0,0.7531669999999999,1668.15,100.0,100.0,2.0,1024.0,False
TripoSG,,,0.6500043469071047,4,0.0,16,0.0,16,61.0,0.999945,80.94,0.0,0.0,0.0,0.0,True
Hunyuan3D-2.1,,,0.32580852366317015,12,1.0,6,0.5833333333333333,4,0.0,0.835265,560.07,100.0,100.0,2.0,2048.0,True
Meshy-6,,,0.2821210860868016,18,1.0,6,0.75,3,0.0,0.7943680000000001,7567.53,100.0,100.0,3.0,2048.0,True
TRELLIS.2-4B,,,0.262970088209122,19,1.0,6,0.5833333333333333,4,0.0,0.751184,13661.49,100.0,100.0,2.0,2048.0,True
