model,elo,rank,post_paper,anonymous,mesh_count,watertight_pct,manifold_edge_ratio,nonmanifold_edge_ratio,boundary_edge_ratio,avg_components,has_uv_pct,has_texture_pct,avg_pbr_channels,avg_texture_resolution,avg_vertex_count,avg_face_count
Strawberrry,1382.0,3.0,False,True,100,0.0,0.7963330000000001,0.0,0.20366499999999998,603.66,100.0,100.0,2.84,4096.0,24878.28,36514.58
Strawb3rry,1370.0,4.0,False,True,100,0.0,0.9548739999999999,0.0,0.045126,216.58,100.0,100.0,3.0,4096.0,98430.55,183629.39
TRELLIS,1306.0,5.0,False,False,100,0.0,0.7857129999999999,0.0,0.214287,386.37,100.0,100.0,1.0,1024.0,13423.0,19134.51
Zaohaowu3D,1302.0,6.0,False,False,100,0.0,0.9779300000000001,0.0,0.022069000000000002,77.7,100.0,100.0,1.0,2048.0,250333.43,484425.5
Hunyuan3D-2,1298.0,7.0,False,False,100,0.0,0.82627,0.0,0.17373000000000002,639.08,100.0,100.0,1.0,1024.0,26328.84,40000.0
InstantMesh,1278.0,8.0,False,False,100,89.0,0.999984,0.0,1.6e-05,27.46,0.0,0.0,0.0,0.0,44132.52,88195.48
Meshy-5,1243.0,9.0,False,False,100,0.0,0.9443389999999999,0.0,0.055660999999999995,149.31,100.0,100.0,1.0,2048.0,37489.3,69131.2
Unique3D,1230.0,10.0,False,False,100,50.0,0.999871,0.0,0.000129,2.0,0.0,0.0,0.0,0.0,334677.02,669229.76
Hi3DGen,1207.0,11.0,False,False,100,70.0,0.999989,0.0,1.1000000000000001e-05,18.8,0.0,0.0,0.0,0.0,342136.12,684262.28
MeshFormer,1192.0,12.0,False,False,93,0.0,0.0002860215053763441,0.0,0.9997139784946236,97890.78494623656,0.0,0.0,0.0,0.0,293752.81720430107,97973.0
SF3D,1190.0,13.0,False,False,100,0.0,0.8696649999999999,1e-06,0.130332,419.21,100.0,100.0,2.0,1024.0,14998.85,24407.0
Real3D,1158.0,14.0,False,False,100,0.0,0.9976179999999999,0.0,0.002378,15.87,0.0,0.0,0.0,0.0,102973.61,205569.69
SPAR3D,1144.0,15.0,False,False,100,0.0,0.836819,0.0,0.16318100000000002,1021.72,100.0,100.0,2.0,1024.0,20986.27,31819.36
TripoSR,1089.0,17.0,False,False,100,0.0,0.997628,3e-06,0.0023669999999999997,4.41,0.0,0.0,0.0,0.0,33351.52,66583.01
IM-MA,1016.0,18.0,False,False,100,16.0,0.961989,0.005919,0.032088,7.14,0.0,0.0,0.0,0.0,302.89,575.52
3DTopia-XL,1000.0,19.0,False,False,100,0.0,0.7531669999999999,0.0,0.246833,1668.15,100.0,100.0,2.0,1024.0,36130.3,50650.44
Hunyuan3D-2.1,,,True,False,100,0.0,0.835265,0.0,0.16473500000000002,560.07,100.0,100.0,2.0,2048.0,25792.07,39871.18
Meshy-6,,,True,False,100,0.0,0.7943680000000001,0.0,0.20563199999999998,7567.53,100.0,100.0,3.0,2048.0,209184.82,298566.95
TRELLIS.2-4B,,,True,False,100,0.0,0.751184,0.0,0.24881599999999998,13661.49,100.0,100.0,2.0,2048.0,221468.02,290637.57
TripoSG,,,True,False,100,61.0,0.999945,1e-06,5.4000000000000005e-05,80.94,0.0,0.0,0.0,0.0,771576.91,1542854.16
